time,rmse,nees,error
1768960502.3597057,1.1885997230868745e-12,4.147193006844948e-24,6.439878649431516e-13
1768960502.3662505,1.1877117885870113e-12,4.147193006844948e-24,6.439992680055173e-13
1768960502.3726635,1.1868269471135807e-12,4.147413922563463e-24,6.440050194950093e-13
1768960502.3785954,1.1859451861031535e-12,4.147535998221676e-24,6.440144985853876e-13
1768960502.3838625,1.1859451861031535e-12,4.147535998221676e-24,6.440214092700293e-13
1768960502.3884,1.1850664859067208e-12,4.147624993530082e-24,6.440339194778304e-13
1768960502.3926163,1.1841908363283686e-12,4.147786114948767e-24,6.440447896094548e-13
1768960502.397106,1.1833182190178254e-12,4.147926113873903e-24,6.440499892523604e-13
1768960502.401522,1.182448611174052e-12,4.14799307346588e-24,6.440588973798177e-13
1768960502.4060419,1.1807183688595927e-12,4.148107802985107e-24,6.440652132680344e-13
1768960502.4105222,1.1807183688595927e-12,4.1481891426881126e-24,6.440771089770157e-13
1768960502.4149005,1.1798577056926235e-12,4.148342359385115e-24,6.440873359882542e-13
1768960502.4192758,1.1789999935335157e-12,4.148474083197783e-24,6.440918554032794e-13
1768960502.423691,1.178145210178869e-12,4.148532284643779e-24,6.441000543051396e-13
